X,Y,objectid,cod_seg_pr,cod_via,cod_pr,distancia,lado,material,fecha_inst,leyen_front,estado,observacion,lat,lon,alt,key,fuente,fecha_fuente,fecha_act
-76.6230692470559,7.91678027773908,17,620126,6201,26,1002,2,1,, ,1, ,7.91678028,-76.62306925,22.7,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6219872496524,7.93457035805982,18,620124,6201,24,999,2,1,, ,1,No Cumple Altura,7.93457036,-76.62198725,27.4,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.625425501995,7.95224032018228,19,620122,6201,22,1000,2,1,, ,2,Ladeado,7.95224032,-76.6254255,24,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6303828387207,7.96963529707063,20,620120,6201,20,998,2,1,, ,2,Requiere Pintura,7.9696353,-76.63038284,24.1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6354801392559,7.98696803560629,21,620118,6201,18,1001,2,1,, ,1, ,7.98696804,-76.63548014,28.5,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6404900723416,8.00434602802334,22,620116,6201,16,1097,2,1,, ,2,No cump. Alt. Permi. Reven.,8.00434603,-76.64049007,21.8,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6455477643593,8.02169671895953,23,620114,6201,14,997,2,1,, ,1, ,8.02169672,-76.64554776,19.4,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6506062388096,8.03890967234712,24,620112,6201,12,1001,2,1,, ,1, ,8.03890967,-76.65060624,17.1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6560614056961,8.0561417168188,25,620110,6201,10,1001,2,1,, ,2, ,8.05614172,-76.65606141,19.9,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6641830885529,8.07098258067832,26,62018,6201,8,990,2,1,, ,2, ,8.07098258,-76.66418309,22.2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6795930781942,8.08050541130249,27,62016,6201,6,1000,2,1,, ,1, ,8.08050541,-76.67959308,7.5,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6958554953783,8.08801173589531,28,62014,6201,4,994,2,1,, ,2, ,8.08801174,-76.69585549,6.5,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.7133313694245,8.09318440260328,29,62012,6201,2,995,2,1,, ,1, ,8.0931844,-76.71333137,5.5,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.7283031500905,8.0952259142105,30,90010,9001,0,936,1,1,2008/11/01 00:00:00+00,0-9001,1,BUEN ESTADO,8.09522591,-76.72830315,1.5,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6771898359758,7.6790765692022,31,620153,6201,53,829,1,1,, ,1, ,7.67907657,-76.67718984,33.5,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6732336887022,7.69666287763978,32,620151,6201,51,1009,1,1,, ,1,No Cump. Altura Permitida,7.69666288,-76.67323369,27.1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5925892171658,5.42233511387633,33,250867,2508,67,1030,1,1,1997/01/01 00:00:00+00,67/2508,0, ,5.42233511,-75.59258922,702.321,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7052532808498,5.42492713887636,34,250837,2508,37,1000,1,1,1997/01/01 00:00:00+00,37/2508,0, ,5.42492714,-75.70525328,1782.1079,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.6483400812398,5.43703999657577,35,250851,2508,51,1000,1,1,1997/01/01 00:00:00+00,51/2508,0, ,5.43704,-75.64834008,1136.6646,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.586953300261,5.43904351686283,36,250869,2508,69,960,1,1,1997/01/01 00:00:00+00,69/2508,0, ,5.43904352,-75.5869533,704.9923,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.6994914560747,5.43953882816758,37,250839,2508,39,976,1,1,1997/01/01 00:00:00+00,39/2508,0, ,5.43953883,-75.69949146,1787.0315,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.6892441643213,5.44381224393732,38,250841,2508,41,1013,1,1,1997/01/01 00:00:00+00,41/2508,0, ,5.44381224,-75.68924416,1672.9524,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.6799741560537,5.44624425601133,39,250845,2508,45,996,1,1,1997/01/01 00:00:00+00,45/2508,0, ,5.44624426,-75.67997416,1405.2953,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.6670097138907,5.45014832496266,40,250847,2508,47,988,1,1,1997/01/01 00:00:00+00,47/2508,0, ,5.45014833,-75.66700971,1253.3137,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.6818040826779,5.45268803101142,41,250843,2508,43,1000,1,1,1997/01/01 00:00:00+00,43/2508,0, ,5.45268803,-75.68180408,1549.9921,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5827364026031,5.45500492472599,42,250871,2508,71,1012,1,1,1997/01/01 00:00:00+00,71/2508,0, ,5.45500493,-75.5827364,691.9789,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5803373079064,5.47167582235642,43,250873,2508,73,993,1,1,1997/01/01 00:00:00+00, ,0, ,5.47167582,-75.58033731,680.1634,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5771260391748,5.48848018103525,44,250875,2508,75,1000,1,1,1997/01/01 00:00:00+00,75/2508,0, ,5.48848018,-75.57712604,678.4522,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5815043973269,5.50558682456415,45,250877,2508,77,996,1,1,1997/01/01 00:00:00+00,77/2508,0, ,5.50558683,-75.5815044,667.2553,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5705762921826,5.53538605610566,46,250881,2508,81,993,1,1,1997/01/01 00:00:00+00,81/2508,0, ,5.53538606,-75.57057629,655.7573,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5768636888911,5.55063910259224,47,250883,2508,83,997,1,1,1997/01/01 00:00:00+00,83/2508,0, ,5.5506391,-75.57686369,652.6869,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5769785528732,5.56859416857447,48,250885,2508,85,997,1,1,1997/01/01 00:00:00+00,85/2508,0, ,5.56859417,-75.57697855,643.0276,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.578601257026,5.5850999893992,49,250887,2508,87,1006,1,1,1997/01/01 00:00:00+00,87/2508,0, ,5.58509999,-75.57860126,644.4893,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5823397137602,5.60277705840457,50,250889,2508,89,1021,1,1,1997/01/01 00:00:00+00,89/2508,0, ,5.60277706,-75.58233971,665.1979,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5862539186931,5.61944119219423,51,250891,2508,91,1008,1,1,1997/01/01 00:00:00+00,91/2508,0, ,5.61944119,-75.58625392,733.743,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5917609534059,5.63314111419542,52,250893,2508,93,1009,1,1,1997/01/01 00:00:00+00,93/2508,0, ,5.63314111,-75.59176095,723.7512,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5909252075779,5.64944681074132,53,250895,2508,95,1000,1,1,1997/01/01 00:00:00+00,95/2508,0, ,5.64944681,-75.59092521,680.9785,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5774811081724,5.65984516432529,54,250897,2508,97,1000,1,1,1997/01/01 00:00:00+00,97/2508,0, ,5.65984516,-75.57748111,622.306,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5806363723359,5.67164696390418,55,250899,2508,99,1013,1,1,1997/01/01 00:00:00+00,99/2508,0, ,5.67164696,-75.58063637,612.1155,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5892665501525,5.67379601127776,56,2508100,2508,100,1001,1,1,1997/01/01 00:00:00+00,100/2508,0, ,5.67379601,-75.58926655,620.2916,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5972973576385,5.6778868723732,57,2508101,2508,101,1004,1,1,1997/01/01 00:00:00+00,101/2508,0, ,5.67788687,-75.59729736,604.6677,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.6002678419413,5.69360487765991,58,2508103,2508,103,960,1,1,1997/01/01 00:00:00+00,103/2508,0, ,5.69360488,-75.60026784,613.2001,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6692624892577,7.71430584506798,59,620149,6201,49,1005,1,1,, ,1,No Cumple Altura,7.71430585,-76.66926249,35.4,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6652882418295,7.73196163890369,60,620147,6201,47,1003,1,1,, ,1,No Cumple Altura,7.73196164,-76.66528824,34.7,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6613326218669,7.74961228624439,61,620145,6201,45,1007,1,1,, ,1, ,7.74961229,-76.66133262,33.4,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6577060107755,7.76731255221561,62,620143,6201,43,1025,1,1,, ,1,No Cumple Altura,7.76731255,-76.65770601,33.8,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6543392751093,7.78503608641365,63,620141,6201,41,1007,1,1,, ,1, ,7.78503609,-76.65433927,28.6,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6515684108357,7.80288842275109,64,620139,6201,39,984,1,1,, ,1, ,7.80288842,-76.65156841,31.2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6493111807836,7.82086856221603,65,620137,6201,37,1009,1,1,, ,1, ,7.82086856,-76.64931118,31.5,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6446363282821,7.83827091662091,66,620135,6201,35,1001,1,1,, ,1, ,7.83827092,-76.64463633,26.8,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6351969633289,7.8732137157296,67,620131,6201,31,1008,1,1,, ,1, ,7.87321372,-76.63519696,28.1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.630321672433,7.89061640465673,68,620129,6201,29,1016,1,1,, ,1, ,7.89061641,-76.63032167,28.5,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6254119940281,7.90804666914391,69,620127,6201,27,1000,1,1,, ,1, ,7.90804667,-76.62541199,24.8,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6212762528679,7.92560833338641,70,620125,6201,25,1001,1,1,, ,1, ,7.92560833,-76.62127625,27,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6228654193179,7.94357041936077,71,620123,6201,23,1003,1,1,, ,1, ,7.94357042,-76.62286542,27.9,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6278080218763,7.96097819533074,72,620121,6201,21,1003,1,1,, ,2,Reg. En Pintura Amb. Caras,7.9609782,-76.62780802,22.4,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6328028686551,7.97834685260095,73,620119,6201,19,1001,1,1,, ,1, ,7.97834685,-76.63280287,27.9,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6375791247825,7.99483896569562,74,620117,6201,17,906,1,1,, ,1, ,7.99483897,-76.63757912,27.8,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6429389076538,8.01306393413508,75,620115,6201,15,1003,1,1,, ,1, ,8.01306393,-76.64293891,22.6,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6480202253635,8.03023538590297,76,620113,6201,13,1008,1,1,, ,1, ,8.03023539,-76.64802022,19.3,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.653147024776,8.04759260040989,77,620111,6201,11,1002,1,1,, ,2,No cumple altura permitida,8.0475926,-76.65314702,17.2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.720052264343,8.09812547030332,78,62011,6201,1,1006,1,1,, ,1, ,8.09812547,-76.72005226,4.6,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.7046270626307,8.0907094658622,79,62013,6201,3,1010,1,1,, ,1, ,8.09070947,-76.70462706,6.8,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6872696161832,8.0853401829567,80,62015,6201,5,1003,1,1,, ,1, ,8.08534018,-76.68726962,6.3,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6718481281063,8.07583095779493,81,62017,6201,7,1002,1,1,, ,1, ,8.07583096,-76.67184813,18.1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6583418500117,8.06492495814668,82,62019,6201,9,1012,1,1,, ,1, ,8.06492496,-76.65834185,24.6,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6399383594334,7.85579009811139,83,620133,6201,33,1007,1,1,, ,1,Ladeado,7.8557901,-76.63993836,28.1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.2594240946075,6.99809032492165,84,6202112,6202,112,862,2,1,, ,1, ,6.99809033,-76.25942409,448.7,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.2748428913318,7.00473242695069,85,6202110,6202,110,967,2,1,, ,1, ,7.00473243,-76.27484289,389,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-81.3647285489317,13.3816037001028,86,030117,0301,17,0,1,1,, ,0,0,13.3816037,-81.36472855,279.4728,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5930735393597,5.01807215634711,87,29CL03_10,29CL03_1,0,0,2,1,,0,0, ,5.01807216,-75.59307354,1264.4364,10-15mt,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5890263056112,5.02603878605183,88,29CL03_11,29CL03_1,1,0,1,1,,0,0, ,5.02603879,-75.58902631,1223.9722,10-15mt,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.583653858291,5.03295239367245,89,29CL03_12,29CL03_1,2,0,2,1,,0,0, ,5.03295239,-75.58365386,1206.0519,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5800136862321,5.04062694416427,90,29CL03_13,29CL03_1,3,0,1,1,,0,0, ,5.04062694,-75.58001369,1285.9286,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7768285327955,5.22807662779323,91,25081,2508,1,1004,1,1,1997/01/01 00:00:00+00,1/2508,0, ,5.22807663,-75.77682853,1548.7103,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7826818860165,5.23046343295248,92,25083,2508,3,1028,1,1,1997/01/01 00:00:00+00,3/2508,0, ,5.23046343,-75.78268189,1666.683,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7822962716044,5.25845429443614,93,25087,2508,7,1011,1,1,1997/01/01 00:00:00+00,7/2508,0, ,5.25845429,-75.78229627,1865.1062,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7864881314187,5.27268268567638,94,25089,2508,9,941,1,1,1997/01/01 00:00:00+00,9/2508,0, ,5.27268269,-75.78648813,1903.0371,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7899388748353,5.28824397519412,95,250811,2508,11,1000,1,1,1997/01/01 00:00:00+00,11/2508,0, ,5.28824398,-75.78993887,1974.8225,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7767516001763,5.33100443936834,96,250817,2508,17,1001,1,1,1997/01/01 00:00:00+00,17/2508,0, ,5.33100444,-75.7767516,2129.8647,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7684839168313,5.34528571416186,97,250819,2508,19,1012,1,1,1997/01/01 00:00:00+00,19/2508,0, ,5.34528571,-75.76848392,2070.3735,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7629387782792,5.35923270833934,98,250821,2508,21,998,1,1,1997/01/01 00:00:00+00,21/2508,0, ,5.35923271,-75.76293878,2065.4194,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7515065754284,5.36905715820288,99,250823,2508,23,972,1,1,1997/01/01 00:00:00+00,23/2508,0, ,5.36905716,-75.75150657,2004.4242,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7397426418111,5.37550534189754,100,250825,2508,25,1000,1,1,1997/01/01 00:00:00+00,25/2508,0, ,5.37550534,-75.73974264,2072.5469,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7281158108691,5.37686030005881,101,250827,2508,27,997,1,1,1997/01/01 00:00:00+00,27/2508,0, ,5.3768603,-75.72811581,2147.6836,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.6130415717694,5.377917452725,102,250861,2508,61,949,1,1,1997/01/01 00:00:00+00,61/2508,0, ,5.37791745,-75.61304157,727.2153,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7147487312194,5.37904514705015,103,250829,2508,29,1002,1,1,1997/01/01 00:00:00+00,29/2508,0, ,5.37904515,-75.71474873,2102.9827,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.6221280937504,5.38472444395886,104,250859,2508,59,1002,1,1,1997/01/01 00:00:00+00,59/2508,0, ,5.38472444,-75.62212809,824.0582,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.6010693781266,5.38781753573086,105,250863,2508,63,1021,1,1,1997/01/01 00:00:00+00,63/2508,0, ,5.38781754,-75.60106938,715.4228,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7098903807531,5.38894829718362,106,250831,2508,31,993,1,1,1997/01/01 00:00:00+00,31/2508,0, ,5.3889483,-75.70989038,2048.0396,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.6290798637817,5.39213406402038,107,250857,2508,57,999,1,1,1997/01/01 00:00:00+00,57/2508,0, ,5.39213406,-75.62907986,903.4655,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7181060920673,5.40083820621513,108,250833,2508,33,1008,1,1,1997/01/01 00:00:00+00,33/2508,0, ,5.40083821,-75.71810609,1936.0358,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5968923863286,5.40540533872263,109,250865,2508,65,999,1,1,1997/01/01 00:00:00+00,65/2508,0, ,5.40540534,-75.59689239,708.1015,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7108527665783,5.41028151065907,110,250835,2508,35,1009,1,1,1997/01/01 00:00:00+00,35/2508,0, ,5.41028151,-75.71085277,1890.816,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.6476714642755,5.41949749683533,111,250853,2508,53,1002,1,1,1997/01/01 00:00:00+00,53/2508,0, ,5.4194975,-75.64767146,1113.4966,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.5966940778397,5.71093966713546,112,2508105,2508,105,991,2,1,1997/01/01 00:00:00+00,105/2508,0, ,5.71093967,-75.59669408,600.8134,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.6011863747092,5.7269822192407,113,2508107,2508,107,991,1,1,1997/01/01 00:00:00+00,107/2508,0, ,5.72698222,-75.60118637,593.8193,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7826471670291,5.23495277766945,114,25084,2508,4,1000,2,1,1997/01/01 00:00:00+00,4/2508,0, ,5.23495278,-75.78264717,1729.3882,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7760494643738,5.23561186128333,115,25082,2508,2,1001,2,1,1997/01/01 00:00:00+00,2/2508,0, ,5.23561186,-75.77604946,1599.6705,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7821389810898,5.24212594726925,116,25085,2508,5,1000,2,1,1997/01/01 00:00:00+00,5/2508,0, ,5.24212595,-75.78213898,1793.6321,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.780887841698,5.24996245760146,117,25086,2508,6,1007,2,1,1997/01/01 00:00:00+00,6/2508,0, ,5.24996246,-75.78088784,1845.0002,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7860781025938,5.26479251424228,118,25088,2508,8,1068,2,1,1997/01/01 00:00:00+00,8/2508,0, ,5.26479251,-75.7860781,1901.4092,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7864020674246,5.28057213068594,119,250810,2508,10,1028,2,1,1997/01/01 00:00:00+00,10/2508,0, ,5.28057213,-75.78640207,1931.7521,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-75.7809456419983,5.32359300004728,120,250816,2508,16,1008,2,1,1997/01/01 00:00:00+00,16/2508,0, ,5.323593,-75.78094564,2159.792,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
